RNF14	Rnf14
CYB5A	Cyb5a
CT47A9	Gm6268
CT47A8	Gm6268
RN7SL709P	Gm27853
TFEB	Tfeb
PYROXD1	Pyroxd1
POU3F3	Pou3f3
SS18L2	Deb1
FAS	Fas
IGDCC3	Igdcc3
DMRTC1B	Dmrtc1a,Dmrtc1b
CFAP44	Cfap44
OSR1	Osr1
PCK2	Pck2
SYTL4	Sytl4
NPAS4	Npas4
SYTL1	Sytl1
SYTL3	Sytl3
SYTL2	Sytl2
OR51Q1	Olfr635,Olfr638
SPRED1	Spred1
SPRED2	Spred2
NPAS2	Npas2
BRK1	Brk1
OR10K2	Olfr370
OR10G4	Olfr978,Olfr979,Olfr980
RN7SKP248	Gm26321
ZNF652	Zfp652
TEN1CDK3	Cdk3-ps
RNU6114P	Gm22263,Gm22306,Gm22349,Gm22885,Gm23080,Gm23306,Gm24218,Gm24437,Gm24569,Gm24801,Gm25024,Gm25254,Gm25465,Gm25903
ASTL	Astl
GK	Gk
VOPP1	Vopp1
MOSPD2	Mospd2
PLEKHH2	Plekhh2
PLEKHH1	Plekhh1
RELT	Relt
ESRP2	Esrp2
C7ORF57	Gm11992
ZCCHC8	Zcchc8
C7ORF50	3110082I17Rik
RP1177K127	Tmem231
RELB	Relb
RELA	Rela
HDGF	Hdgf
PRX	Prx
CH17270A22	Polr3gl
MRPL36	Mrpl36
CRISPLD2	Crispld2
CRISPLD1	Crispld1
MRPL35	Mrpl35
MRPL32	Mrpl32
MRPL33	Mrpl33
MRPL30	Mrpl30
PTRH2	Ptrh2
RNU61068P	Gm24461
NKX12	Nkx1-2
PTH2R	Pth2r
MRPL38	Mrpl38
CYYR1	Cyyr1
FAM69C	Fam69c
FAM69B	Fam69b
FAM69A	Fam69a
FAM92B	Fam92b
KLK4	Klk4
DMRTC1	Dmrtc1a,Dmrtc1b
KLK6	Klk6
KLK7	Klk7
KLK8	Klk8
KLK9	Klk9
THOC1	Thoc1
OR10G8	Olfr978,Olfr979,Olfr980
THOC7	Thoc7
THOC6	Thoc6
THOC5	Thoc5
HNRNPDL	Hnrnpdl
PRRG2	Prrg2
UNC93B1	Unc93b1
PRRG3	Prrg3
RHBDL2	Rhbdl2
RHBDL3	Rhbdl3
RHBDL1	Rhbdl1
SNN	Snn
HSD3B7	Hsd3b7
HSD3B1	Gm10681,Gm4450,Hsd3b1,Hsd3b2,Hsd3b3,Hsd3b4,Hsd3b5,Hsd3b6
HSD3B2	Gm10681,Gm4450,Hsd3b1,Hsd3b2,Hsd3b3,Hsd3b4,Hsd3b5,Hsd3b6
MTRR	Mtrr
CD300C	Cd300a,Cd300c,Cd300c2
YWHAG	Ywhag
CD300A	Cd300a,Cd300c,Cd300c2
RNU229P	Gm23744,U2
C6ORF58	2310057J18Rik
CD300E	Cd300e
CLUAP1	Cluap1
FOXP3	Foxp3
COPS8	Cops8
COPS9	Myeov2
RCCD1	Rccd1
ADAM30	Adam30
FOXP4	Foxp4
MSL3	Msl3l2
COPS2	Cops2
COPS3	Cops3
LBHD1	Lbhd1
SAA4	Saa4
COPS6	Cops6
NUP85	Nup85
COPS4	Cops4
COPS5	Cops5
SAT1	Sat1
PPOX	Ppox
YTHDF1	Ythdf1
MDGA1	Mdga1
GTSF1	Gtsf1
ZNF595	Zfp457,Zfp458,Zfp595,Zfp65,Zfp759
ZNF598	Zfp598
PARP11	Parp11
STK33	Stk33
TMEM72	Tmem72
RN7SL252P	Gm27853
MYCN	Mycn,Mycs
MYCL	Mycl
RCC1L	Wbscr16
PARPBP	Parpbp
AC1366162	Ighv10-1,Ighv10-3,Ighv6-3,Ighv6-5,Ighv6-6,Ighv7-1,Ighv7-2,Ighv7-3,Ighv7-4
AC1366161	Slc6a8
RNU61196P	Gm25839
PLCH2	Plch2
ERFE	Fam132b
PLCH1	Plch1
VEZF1	Vezf1
NLK	Nlk
FDFT1	Fdft1
FAM135A	Fam135a
FAM135B	Fam135b
NLN	Nln
IGF2	Igf2
NUDT9	Nudt9
STARD9	Stard9
IGF1	Igf1
DLD	Dld
TMED5	Tmed5
NUDT1	Nudt1
NUDT2	Nudt2
NUDT3	Nudt3
NUDT4	Nudt4
NUDT5	Nudt5
NUDT6	Nudt6
NUDT7	Nudt7
TFPI	Tfpi
TWSG1	Twsg1
SEPN1	Sepn1
TK2	Tk2
TK1	Tk1
PHLDB1	Phldb1
COL16A1	Col16a1
PHLDB3	Phldb3
NTHL1	Nthl1
LARS	Lars
SST	Sst
RNU46P	Gm25279
RNU61103P	Gm23412
OPN1MW3	Opn1mw
OPN1MW2	Opn1mw
CYP27A1	Cyp27a1
MEF2B	Borcs8,Mef2b
MEF2A	Mef2a
FETUB	Fetub
DDRGK1	Ddrgk1
MSLN	Msln
FBXL20	Fbxl20
LCORL	Lcorl
FBXL22	Fbxl22
SSB	Ssb
EPHX1	Ephx1
EPHX2	Ephx2
EPHX3	Ephx3
FAM168B	Fam168b
ZNF330	Zfp330
FAM168A	Fam168a
TEX15	Tex15
RPLP2	Rplp2
NSL1	Nsl1
RPLP0	Rplp0
TEX11	Tex11
TEX10	Tex10
SNORD14	Snord14a
SERPINA2	Serpina1f
CD300LG	Cd300lg
CD300LF	Cd300ld,Cd300ld2,Cd300ld3,Cd300ld4,Cd300ld5,Cd300lf
SLCO1B1	Slco1b2
CD300LD	Cd300ld,Cd300ld2,Cd300ld3,Cd300ld4,Cd300ld5,Cd300lf
CD300LB	Cd300lb
SGSM3	Sgsm3
MALAT1	Gm27465,Gm27694
LRRC3B	Lrrc3b
LRRC3C	Lrrc3c
CFAP20	Cfap20
C18ORF8	3110002H16Rik
VIS1	Vis1
RN7SL743P	Gm27853
RSC1A1	Ddi2,Rsc1a1
ECD	Ecd
GPATCH11	Gpatch11
C17ORF107	4930544D05Rik
C17ORF105	1700006E09Rik
CIB2	Cib2
CIB3	Cib3
NDFIP1	Ndfip1
CIB1	Cib1
PRIMA1	Prima1
CIB4	Cib4
THYN1	Thyn1
ZNF804B	Zfp804b
TTC29	Ttc29
TRIL	Tril
TRIO	Trio
EVC	Evc
NTF4	Ntf5
MTMR12	Mtmr12
MTMR11	Mtmr11
MTMR10	Mtmr10
UGDH	Ugdh
CELSR3	Celsr3
CELSR2	Celsr2
CELSR1	Celsr1
RABL2B	Rabl2
PTCHD4	Ptchd4
PTCHD3	Ptchd3
PTCHD1	Ptchd1
BBX	Bbx
RNU412P	Gm25899
TPMT	Tpmt
NEK6	Nek6
USP17L30	Usp17la,Usp17lb,Usp17lc,Usp17ld,Usp17le
SHTN1	Shtn1
LRRC38	Lrrc38
CXADR	Gm1123
FRMD4B	Frmd4b
CYP24A1	Cyp24a1
RNU6304P	Gm27975
MFSD10	Mfsd10
LRRC30	Lrrc30
LRRC31	Lrrc31
LRRC32	Lrrc32
LRRC34	Lrrc34
LRRC36	Lrrc36
LY6G5B	Ly6g5b
CTC490E2112	Egln2
MFN1	Mfn1
RNA5SP36	n-R5s87
FAM117A	Fam117a
FAM117B	Fam117b
TTC23	Ttc23
THTPA	Thtpa
NAA50	Naa50
RNA5SP30	n-R5s2
RNA5SP31	Gm26213
MAD2L2	Mad2l2
MAD2L1	Mad2l1
SVIL	Svil
KTN1	Ktn1
TCEB3	Tceb3
TCEB2	Tceb2
TCEB1	Tceb1
CEP57L1	Cep57l1
IQSEC1	Iqsec1
XXBACBPG32J322	Ly6g5b
BMPER	Bmper
SATB2	Satb2
CLCNKA	Clcnka,Clcnkb
UBAP2	Ubap2
CLCNKB	Clcnka,Clcnkb
LRP2BP	Lrp2bp
CCDC169	Ccdc169
CCDC168	Gm8251
SERPINA3	Serpina3a,Serpina3b,Serpina3c,Serpina3f,Serpina3g,Serpina3i,Serpina3j,Serpina3k,Serpina3m,Serpina3n
CCDC163	Ccdc163
VPREB1	Vpreb1,Vpreb2
IGKV6D21	Igkv5-37,Igkv5-39,Igkv5-43,Igkv5-45,Igkv5-48
CCDC160	Ccdc160
CCDC167	Ccdc167
CCDC166	Ccdc166
SLC39A7	Slc39a7
LINC01207	BC030870
AC00611620	Gm6792
RIC3	Ric3
OR5D16	Olfr1155
ST3GAL3	St3gal3
ST3GAL2	St3gal2
ST3GAL1	St3gal1
ST3GAL6	St3gal6
SLCO1B7	Slco1b2
OR56B1	Olfr504,Olfr657
NINJ1	Ninj1
NINJ2	Ninj2
RARG	Rarg
GALNS	Galns
ZNF451	Zfp451
RNU6781P	Gm22769,Gm23125,Gm25601
GPR75ASB3	Asb3
NEK2	Nek2
USP33	Usp33
SNORD62A	Gm22192
NPSR1	Npsr1
SNORA74A	Snora74a
RN7SKP143	Gm24545
TJAP1	Tjap1
SLC16A9	Slc16a9
MAGEA12	1700080O16Rik,3830417A13Rik,Magea1,Magea10,Magea2,Magea3,Magea4,Magea5,Magea6,Magea8
CYP7B1	Cyp7b1
MAGEA10	1700080O16Rik,3830417A13Rik,Magea1,Magea10,Magea2,Magea3,Magea4,Magea5,Magea6,Magea8
OSBPL8	Osbpl8
SLC16A1	Slc16a1
TUFM	Tufm
SLC16A3	Slc16a3
CEP131	Cep131
SLC16A5	Slc16a5
NPY2R	Npy2r
SLC16A7	Slc16a7
CEP135	Cep135
ARHGAP30	Arhgap30
ARHGAP31	Arhgap31
ARHGAP32	Arhgap32
ARHGAP33	Arhgap33
BCKDHB	Bckdhb
ARHGAP35	Arhgap35
ARHGAP36	Arhgap36
BCKDHA	Bckdha
WIPF3	Wipf3
ARHGAP39	Arhgap39
SMIM10L2B	Smim10l2a
C21ORF58	2610028H24Rik
MON1A	Mon1a
MON1B	Mon1b
CFAP206	Cfap206
HECTD2	Hectd2
DYNLL1	Dynll1
LYVE1	Lyve1
DYNLL2	Dynll2
SNOU109	Gm23897
PRDM5	Prdm5
KHDC1	Khdc1a,Khdc1b,Khdc1c
RNU61015P	Gm25898
C20ORF141	1700020A23Rik
RBM4B	Rbm4b
MALRD1	Malrd1
C20ORF144	1700003F12Rik
UQCRH	Uqcrh
UQCRB	Uqcrb
SNORA53	Gm24119
RP166C134	Lyrm9
CACNA1H	Cacna1h
CACNA1I	Cacna1i
GPS2	Gps2
SNORA52	Snora52
RNU61254P	Gm23038
CACNA1A	Cacna1a
CACNA1B	Cacna1b
CACNA1C	Cacna1c
CACNA1D	Cacna1d
CACNA1E	Cacna1e
CACNA1F	Cacna1f
CACNA1G	Cacna1g
PTAFR	Ptafr
TMEM265	Tmem265
RNU6607P	Gm22555,Gm22621,Gm23552,Gm23977,Gm24072,Gm24382,Gm24676,Gm24712,Gm27659
LYPLA1	Lypla1
TULP4	Tulp4
ATP6V0D2	Atp6v0d2
ATP6V0D1	Atp6v0d1
CACNA1S	Cacna1s
AC02459212	Ndufa11
RP4816N18	4933413G19Rik
FLCN	Flcn
KIF19	Kif19a
BMP8A	Bmp8a,Bmp8b
BMP8B	Bmp8a,Bmp8b
TTL	Ttl
BGLAP	Bglap,Bglap2,Bglap3
PHB2	Phb2
RNU61314P	Gm25549
SLC15A2	Slc15a2
COIL	Coil
SLC15A1	Slc15a1
TOR2A	Tor2a
SLC15A4	Slc15a4
CARHSP1	Carhsp1
RBM41	Rbm41
RBM42	Rbm42
RBM43	Rbm43
RBM44	Rbm44
RBM45	Rbm45
CDY1B	Cdyl
PIH1D3	Pih1d3,Pih1h3b
RBM48	Rbm48
NPY1R	Npy1r
PQBP1	Pqbp1
TMOD1	Tmod1
RNU638P	Gm23614
SLC22A16	Slc22a16
TTC17	Ttc17
OAT	Oat
TTC13	Ttc13
ACOX3	Acox3
RN7SKP164	Gm22600
PRR5ARHGAP8	Arhgap8
TTC19	Ttc19
QRFPR	C130060K24Rik
VSNL1	Vsnl1
RNU246P	Gm23345
PRDM1	Prdm1
EPGN	Epgn
PRSS54	Prss54
RRAS2	Rras2
RP11507M31	Fam228b
HIF1A	Hif1a
SLC31A1	Slc31a1
SLC31A2	Slc31a2
ZFP92	Zfp92
ZFP90	Zfp90
TRIM6TRIM34	Trim34a,Trim34b
RICTOR	Rictor
LMO1	Lmo1
PPM1G	Ppm1g
PPM1F	Ppm1f
PPM1E	Ppm1e
PPM1D	Ppm1d
ABCF3	Abcf3
ABCF2	Abcf2
ABCF1	Abcf1
RNF148	Rnf148
EGR2	Egr2
C4BPA	C4bp,Zp3r
PPM1M	Ppm1m
EGR1	Egr1
PPM1K	Ppm1k
PPM1J	Ppm1j
EGR4	Egr4
PPM1H	Ppm1h
PJA1	Pja1
PJA2	Pja2
CHEK2	Chek2
CHEK1	Chek1
DALRD3	Dalrd3
UPF3B	Upf3b
PRKAB2	Prkab2
NSMCE2	Nsmce2
PRKAB1	Prkab1
SIKE1	Sike1
SGSH	Sgsh
LIN28B	Lin28b
PAX5	Pax5
PAX4	Pax4
PAX7	Pax7
PAX6	Pax6
PAX1	Pax1
PAX3	Pax3
KPRP	Kprp
PCDHA10	Pcdhgb8
PCDHA11	Pcdha11
GCFC2	Gcfc2
PCDHA13	Pcdha12
PAX9	Pax9
PAX8	Pax8
PTPN5	Ptpn5
PTPN4	Ptpn4
GINS2	Gins2
GINS3	Gins3
GINS1	Gins1
PROK1	Prok1
GINS4	Gins4
BTF3	Btf3
DDR2	Ddr2
PLD4	Pld4
DDR1	Ddr1
RNU6638P	Gm24060
LRCH4	Gm20605,Lrch4
C10ORF99	2610528A11Rik
NNMT	Nnmt
LRCH1	Lrch1
LRCH2	Lrch2
LRCH3	Lrch3
C10ORF90	D7Ertd443e
MBD3L1	Mbd3l1
MBD3L2	Mbd3l2
MBD3L3	Mbd3l2
MBD3L4	Mbd3l2
MBD3L5	Mbd3l2
EPG5	Epg5
PTDSS1	Ptdss1
AGBL5	Agbl5
AGBL4	Agbl4
AGBL3	Agbl3
AGBL2	Agbl2
AGBL1	Agbl1
RNU6ATAC14P	Gm24191
MLIP	Mlip
EVI5L	Evi5l
RBM12B	Rbm12b1,Rbm12b2
ALG10B	Alg10b
ARRB2	Arrb2
SNORD1A	Snord1a
ARRB1	Arrb1
CHCHD10	Chchd10
ADPRH	Adprh
GRK1	Grk1
NEK9	Nek9
ADPRM	Adprm
ADI1	Adi1
PILRA	Pilra,Pilrb1,Pilrb2
ZEB1	Zeb1
TNK2	Tnk2
GPNMB	Gpnmb
SLC7A13	Slc7a13
PSMA2	Psma2
AKAP8L	Akap8l
C9	C9
PSMA1	Psma1
PSMA6	Psma6
PSMA7	Psma7
OBSL1	Obsl1
PSMA5	Gm8394,Psma5
C3	C3
C2	C2
PSMA8	Psma8
DSG1	Dsg1a,Dsg1b,Dsg1c
C7	C7
C6	C6
C5	Hc
FBXO45	Fbxo45
FBXO44	Fbxo44
FBXO47	Fbxo47
FBXO46	Fbxo46
FBXO41	Fbxo41
FBXO40	Fbxo40
FBXO43	Fbxo43
FBXO42	Fbxo42
MSH4	Msh4
DCDC2B	Dcdc2b
WDR1	Wdr1
FBXO48	Fbxo48
SH3BP5L	Sh3bp5l
VEPH1	Veph1
CATIP	Catip
GUCD1	Gucd1
EXPH5	Exph5
SNOU2_19	Gm24339
ADIG	Adig
CS	Cs,Csl
RPS6KA4	Rps6ka4
CP	Cp
RMND5A	Rmnd5a
RMND5B	Rmnd5b
NRBF2	Nrbf2
ENKD1	Enkd1
KCNJ2	Kcnj2
KCNJ1	Kcnj1
NKX63	Nkx6-3
SNORD10	Gm25835
KCNJ6	Kcnj6
KCNJ5	Kcnj5
KCNJ4	Kcnj4
NECAB3	Necab3
KCNJ9	Kcnj9
KCNJ8	Kcnj8
SNORD19	Snord19
NECAB2	Necab2
SFT2D3	Sft2d3
AGPAT5	Agpat5
AGPAT4	Agpat4
COL1A2	Col1a2
AGPAT2	Agpat2
AGPAT1	Agpat1
COL1A1	Col1a1
SET	Set
KIAA1217	Etl4
KIAA1210	Gm14569
KIAA1211	C530008M17Rik
MCL1	Mcl1
OR2J1	Olfr137
OR2J2	Olfr137
CEMIP	Cemip
RNU61019P	Gm24150
CMYA5	Cmya5
FOXO3	Foxo3
SDHC	Sdhc
FOXO1	Foxo1
FOXO6	Foxo6
FOXO4	Foxo4
NIP7	Nip7
PEX10	Pex10
PEX13	Pex13
PEX12	Pex12
RNU697P	Gm26129
ANGEL2	Angel2
ANGEL1	Angel1
PEX16	Pex16
CDC37L1	Cdc37l1
TMEM190	Tmem190
PP2D1	Pp2d1
AP3B2	Ap3b2
TFRC	Tfrc
UNCX	Uncx
TGIF2LX	Tgif2lx1,Tgif2lx2
ZNF518B	Zfp518b
ODC1	Odc1
SPAG6	Spag6
FAM219A	Fam219a
SPAG7	Spag7
ZKSCAN1	Zkscan1
PRRC2A	Prrc2a
RNU6651P	Gm24234
SPAG5	Spag5
AADAT	Aadat
SIGIRR	Sigirr
RNU155P	Gm22507,Gm24526,Gm25627
SCARA3	Scara3
FLI1	Fli1
AC0685337	Asl
AADAC	Aadac
RNU6389P	Gm22336
ANXA8L1	Anxa8
TMEM199	Tmem199
EPCAM	Epcam
RNU689P	Gm25549
KLHL6	Klhl6
PPP1CB	Ppp1cb
PPP1CC	Ppp1cc
KLHL7	Klhl7
MPPED1	Mpped1
MPPED2	Mpped2
SCARA5	Scara5
KLHL4	Klhl4
FOXC2	Foxc2
FOXC1	Foxc1
COL6A1	Col6a1
WBP2	Wbp2
COL6A3	Col6a3
COL6A2	Col6a2
COL6A5	Col6a5
POM121	Pom121
RFXANK	Rfxank
COL6A6	Col6a6
SLC18B1	Slc18b1
RP11162P232	Aldh2
KLK12	Klk12
KLK13	Klk13
KLK10	Klk10
KLK11	Klk11
NDUFAF4	Ndufaf4
METTL2A	Mettl2
KLK14	Klk14
KLK15	Klk15
FAM71D	Fam71d
FGL2	Fgl2
FAM71B	Fam71b
FAM71A	Fam71a
TRH	Trh
OGG1	Ogg1
RNU6838P	Gm26487
SPAG1	Spag1
SNX25	Snx25
ALLC	Allc
TRIM72	Trim72
VSIG10	Vsig10
HIF1AN	Hif1an
PRRT1	Prrt1
DENND3	Dennd3
SLC34A3	Slc34a3
SLC34A2	Slc34a2
WIPF2	Wipf2
RN7SKP96	Gm25386
CREBRF	Crebrf
PPP1R16A	Ppp1r16a
PPP1R16B	Ppp1r16b
NFKBIE	Nfkbie
BLNK	Blnk
EIF3CL	Eif3c
NOXA1	Noxa1
TOPAZ1	Topaz1
RNU138P	Gm25914,Gm26290
UAP1L1	Uap1l1
USH1C	Ush1c
KIAA1841	0610010F05Rik
UBR2	Ubr2
RP11234B246	Ndufa9
PRMT7	Prmt7
NUCB1	Nucb1
HSDL1	Hsdl1
HSDL2	Hsdl2
KCNMB4	Kcnmb4
SOCS5	Socs5
SOCS4	Socs4
CALN1	Caln1
SOCS6	Socs6
SOCS1	Socs1
SOCS3	Socs3
SHROOM2	Shroom2
PPP2CA	Ppp2ca
PACSIN1	Pacsin1
PPP2CB	Ppp2cb
CCNY	Ccny
SRPX	Srpx
ZNF626	Zfp457,Zfp458,Zfp595,Zfp65,Zfp759
C8ORF89	4930444P10Rik
C19ORF24	1600002K03Rik
C19ORF25	2310011J03Rik
SPINK9	Spink12
PFN3	Pfn3
CCNO	Ccno
CCL3L3	Ccl3
CCNI	Ccni
CCNJ	Ccnj
CCNK	Ccnk
RNU61032P	Gm24129
PCM1	Pcm1
TBRG4	Tbrg4
RNU6351P	Gm23331
RNU6747P	Gm23038
GREM1	Grem1
RNU61252P	Gm25401
UNC13B	Unc13b
NCKAP5	Nckap5
GSK3B	Gsk3b
LYSMD1	Gm9726,Lysmd1
IL1R2	Il1r2
IL1R1	Il1r1
PTN	Ptn
JMY	Jmy
ABHD18	Abhd18
LRRK1	Lrrk1
LRRK2	Lrrk2
PTH	Pth
PLEKHJ1	Plekhj1
ABHD15	Abhd15
COPE	Cope
ABHD10	Abhd10
ABHD11	Abhd11
ABHD12	Abhd12
ABHD13	Abhd13
TRO	Tro
SCML2	Scml2
NGRN	Ngrn
SLC3A2	Slc3a2
CRMP1	Crmp1
PRELID3B	Slmo2
FN3K	Fn3k
RNU61268P	Gm24121
PTS	Pts
MRPL10	Mrpl10
MRPL11	Mrpl11
MRPL12	Mrpl12
MRPL13	Mrpl13
MRPL14	Mrpl14
MRPL15	Mrpl15
MRPL16	Mrpl16
MRPL17	Mrpl17
ARPC3	Arpc3
ARPC2	Arpc2
CDC25A	Cdc25a
RNF44	Rnf44
RNF43	Rnf43
ARPC5	Gm16372
ARPC4	Arpc4
TMPRSS12	Tmprss12
DCUN1D1	Dcun1d1
DCUN1D2	Dcun1d2
DCUN1D3	Dcun1d3
DCUN1D4	Dcun1d4
DCUN1D5	Dcun1d5
SNORA79	Gm23987,Gm24241,Gm25776,Gm25848
SNORA78	Snora78
ITPR2	Itpr2
ITPR3	Itpr3
SNORA75	Gm22338,Gm22972,Gm25038,Snora75
ITPR1	Itpr1
UBQLNL	Ubqlnl
SNORA72	Gm23758,Gm23960,Gm24061
SNORA71	Gm23893,Gm26003
SNORA70	Gm22725,Gm23996,Gm24175
IL1RN	Il1rn
AMPH	Amph
KDELR1	Kdelr1
DEPTOR	Deptor
LRIG2	Lrig2
LRIG1	Lrig1
NOTCH3	Notch3
ANKRD20A2	Ankrd26
ANKRD20A3	Ankrd26
ANKRD20A1	Ankrd26
PADI3	Padi3
ANKRD20A4	Ankrd26
SNCG	Sncg
ERCC6L2	Ercc6l2
CES2	Ces2a,Ces2b,Ces2c,Ces2e,Ces2f,Ces2g,Ces2h
CASKIN2	Caskin2
RSPH10B2	Rsph10b
CASKIN1	Caskin1
AIFM2	Aifm2
AIFM3	Aifm3
IL17RE	Il17re
AIFM1	Aifm1
IL17RC	Il17rc
A1CF	A1cf
IL17RA	Il17ra
KBTBD12	Kbtbd12
KBTBD11	Kbtbd11
SSPN	Sspn
ANKRD53	Ankrd53
ACAN	Acan
FOXR2	Foxr2
PADI6	Padi6
OR11A1	Olfr96
POT1	Pot1a,Pot1b
HBA1	Hba-a1,Hba-a2
TMEM100	Tmem100
CD302	Cd302
FAM217A	Fam217a
C14ORF169	2410016O06Rik
FAM217B	Fam217b
AC0064869	Gsk3a
C14ORF166	2700060E02Rik
OPN5	Opn5
OPN4	Opn4
OPN3	Opn3
LMNA	Lmna
NCOR1	Ncor1
SNORD15A	Snord15a
SCAPER	Scaper
HBA2	Hba-a1,Hba-a2
AVEN	Aven
PATE3	Pate3
HIST2H2AB	Hist2h2ab
PATE2	Pate2
REPS1	Reps1
TEF	Tef
REPS2	Reps2
NECTIN2	Nectin2
NECTIN3	Nectin3
NECTIN1	Nectin1
GPN3	Gpn3
FFAR4	Ffar4
CLHC1	Clhc1
TMEM30A	Tmem30a
NFKB1	Nfkb1
NFKB2	Nfkb2
PM20D2	Pm20d2
MSS51	Mss51
DNPEP	Dnpep
RAP2C	Rap2c
RAB40AL	Rab40b
SIAH1	Siah1a,Siah1b
SIAH2	Siah2
SIAH3	Siah3
NSA2	Nsa2
RBPMS2	Rbpms2
ZNF473	Zfp473
RNA5SP283	Gm24647,n-R5s42
CORT	Cort
CLPTM1L	Clptm1l
LYZL1	Lyzl1
LYZL2	Lyzl1
PDZRN4	Pdzrn4
ZAP70	Zap70
LDOC1L	Ldoc1l
PDZRN3	Pdzrn3
PAQR7	Paqr7
TRGV8	Tcrg-V7
RNU61101P	Gm26091
EMILIN3	Emilin3
EMILIN2	Emilin2
EMILIN1	Emilin1
TFR2	Tfr2
DAPP1	Dapp1
PIAS2	Pias2
PIAS3	Pias3
CTGF	Ctgf
PIAS1	Pias1
PIAS4	Pias4
TMEM98	Tmem98
HIVEP1	Hivep1
HIVEP2	Hivep2
HIVEP3	Hivep3
TEX38	Tex38
JAGN1	Jagn1
EOGT	Eogt
ZNF316	Zfp316
ZNF317	Zfp317
TEX33	Tex33
ZNF319	Zfp319
RNU6970P	Gm23169,Gm24356
PIFO	Pifo
TEX36	Tex36
TEX35	Tex35
NTN3	Tbc1d24
OR52M1	Olfr554
OVOL1	Ovol1
P2RX1	P2rx1
OOSP2	Oosp2
P2RX2	P2rx2
P2RX5	P2rx5
M1AP	M1ap
HSPBP1	Hspbp1
P2RX6	P2rx6
HADHB	Hadhb
HADHA	Hadha
GSTP1	Gstp1,Gstp2
RPS19BP1	Rps19bp1
STPG3	Stpg3
STPG2	Stpg2
STPG1	Stpg1
RNU6487P	Gm22057
NPRL2	Nprl2
OR4C12	Olfr1255,Olfr1259
PHF6	Phf6
PLXNB2	Plxnb2
KRTAP33	Krtap3-2,Krtap3-3
RMDN2	Rmdn2
PGRMC2	Pgrmc2
PGRMC1	Pgrmc1
KBTBD6	Kbtbd6,Kbtbd7
OTOGL	Otogl
MYLK2	Mylk2
AP4M1	Ap4m1
VTI1B	Vti1b
ALS2	Als2
MYLK3	Mylk3
LRRC52	Lrrc52
USP17L8	Usp17la,Usp17lb,Usp17lc,Usp17ld,Usp17le
KIAA1024	AF529169
LRRC56	Lrrc56
LRRC57	Lrrc57
LRRC55	Lrrc55
DENND1C	Dennd1c
DENND1B	Dennd1b
DENND1A	Dennd1a
LRRC59	Lrrc59
RNU6988P	Gm22454,Gm25343,Gm25448
SLCO1C1	Slco1c1
DIS3	Dis3
ZNF99	Zfp457,Zfp458,Zfp595,Zfp65,Zfp759
RNA5SP55	Gm27355,Gm27648
NEAT1_3	Gm27533
PAQR6	Paqr6
RNA5SP53	n-R5s161,n-R5s41
SDHA	Sdha
BAP1	Bap1
SDHB	Sdhb
RNA5SP59	Gm25329
SHARPIN	Sharpin
SNORD14B	Snord14a
ZCCHC13	Zcchc13
ERRFI1	Errfi1
ZCCHC11	Zcchc11
NKAPL	Nkapl
ZCCHC17	Zcchc17
PSG11	Ceacam1,Ceacam2
SAC3D1	Sac3d1
AP1M2	Ap1m2
NRP2	Nrp2
AP1M1	Ap1m1
FKBP14	Fkbp14
CDRT4	Cdrt4
STRC	Strc
RP11463D192	Ube2w
CCDC146	Ccdc146
CCDC141	Ccdc141
CDRT1	Fbxw10
ANKS4B	Anks4b
TMEM120A	Tmem120a
CCDC149	Ccdc149
CCDC148	Ccdc148
CYP3A43	Cyp3a25,Cyp3a57,Cyp3a59
GRAMD3	Gramd3
DLG3	Dlg3
DLG2	Dlg2
DLG5	Dlg5
DLG4	Dlg4
SAMD10	Samd10
SAMD11	Samd11
SRPK1	Srpk1
SOX6	Sox6
SMG9	Smg9
PCBP4	Pcbp4
NEAT1_1	Gm28006
PQLC2	Pqlc2
FAM114A1	Fam114a1
RNU439P	Gm25366
GRWD1	Grwd1
FAM114A2	Fam114a2
PQLC1	Pqlc1
FAM3A	Fam3a
SPDYA	Spdya
SERAC1	Serac1
FBXO10	Fbxo10
PCDH11X	Pcdh11x
PCDH11Y	Pcdh11x
IGF1R	Igf1r
FAM3C	Fam3c
IFNK	Ifnk
LHB	Lhb
RAB11FIP2	Rab11fip2
IFNG	Ifng
FBXO16	Fbxo16
IFNE	Ifne
PCBP1	Pcbp1
MYBL2	Mybl2
PTGR1	Ptgr1
PTGR2	Ptgr2
SLC45A2	Slc45a2
MTUS1	Mtus1
MTUS2	Mtus2
OSBPL9	Osbpl9
COQ8B	Coq8b
IFRD1	Ifrd1
CEP112	Cep112
COQ8A	Coq8a
OSBPL2	Osbpl2
OSBPL3	Osbpl3
ALS2CL	Als2cl
OSBPL6	Osbpl6
OSBPL7	Osbpl7
OSBPL5	Osbpl5
ADRA1A	Adra1a
ADRA1B	Adra1b
TEX9	Tex9
ADRA1D	Adra1d
STUB1	Stub1
CD3EAP	Cd3eap
RNA5SP361	Gm27289
SNRPG	Snrpg
THEM5	Them5
LZTS3	Lzts3
HSFY1	Hsfy2
ARHGAP17	Arhgap17
STARD8	Stard8
ARHGAP15	Arhgap15
ARHGAP12	Arhgap12
ARHGAP10	Arhgap10
STARD3	Stard3
STARD6	Stard6
STARD7	Stard7
ARHGAP18	Arhgap18
ARHGAP19	Arhgap19
